transaction_id,date,category,amount,payment_method,city,is_essential
EXP1000,2025-03-23,Food,172.53,Cash,Bangalore,Yes
EXP1001,2025-01-29,Transport,2235.77,Card,Pune,Yes
EXP1002,2025-03-11,Food,1812.43,UPI,Hyderabad,Yes
EXP1003,2025-01-12,Transport,774.72,Card,Hyderabad,Yes
EXP1004,2025-03-13,Transport,2176.46,Card,Delhi,Yes
EXP1005,2025-02-23,Transport,1402.71,Cash,Hyderabad,Yes
EXP1006,2025-01-21,Bills,1325.58,Cash,Bangalore,Yes
EXP1007,2025-01-28,Entertainment,396.41,Cash,Hyderabad,No
EXP1008,2025-02-15,Entertainment,1850.81,UPI,Pune,No
EXP1009,2025-02-28,Shopping,462.0,Cash,Hyderabad,No
EXP1010,2025-03-12,Entertainment,2505.27,Card,Chennai,No
EXP1011,2025-03-15,Transport,2143.26,UPI,Pune,Yes
EXP1012,2025-01-30,Entertainment,2957.14,UPI,Hyderabad,No
EXP1013,2025-02-18,Entertainment,1414.89,Cash,Bangalore,No
EXP1014,2025-02-17,Entertainment,707.57,Cash,Pune,No
EXP1015,2025-03-29,Bills,307.07,Card,Bangalore,Yes
EXP1016,2025-03-10,Bills,809.95,Cash,Mumbai,Yes
EXP1017,2025-02-04,Bills,2095.67,UPI,Pune,Yes
EXP1018,2025-02-11,Food,764.24,UPI,Chennai,Yes
EXP1019,2025-02-21,Entertainment,291.95,Card,Pune,No
EXP1020,2025-02-10,Transport,2000.77,Cash,Pune,Yes
EXP1021,2025-02-28,Transport,868.15,UPI,Pune,Yes
EXP1022,2025-03-13,Shopping,861.95,Card,Mumbai,No
EXP1023,2025-03-16,Groceries,1149.79,UPI,Delhi,Yes
EXP1024,2025-03-05,Food,2291.77,UPI,Bangalore,Yes
EXP1025,2025-03-22,Transport,2397.03,Cash,Delhi,Yes
EXP1026,2025-01-09,Groceries,1206.7,Cash,Delhi,Yes
EXP1027,2025-02-02,Shopping,2596.26,UPI,Pune,No
EXP1028,2025-01-15,Bills,2665.89,Cash,Pune,Yes
EXP1029,2025-02-13,Food,951.15,UPI,Mumbai,Yes
EXP1030,2025-01-01,Bills,2639.97,Cash,Delhi,Yes
EXP1031,2025-01-23,Shopping,2746.62,Card,Chennai,No
EXP1032,2025-03-23,Shopping,1866.01,UPI,Chennai,No
EXP1033,2025-01-21,Shopping,2865.15,Card,Hyderabad,No
EXP1034,2025-03-18,Entertainment,1516.96,UPI,Chennai,No
EXP1035,2025-02-09,Transport,267.98,Card,Hyderabad,Yes
EXP1036,2025-01-11,Bills,1509.37,UPI,Delhi,Yes
EXP1037,2025-01-17,Transport,2013.28,Card,Bangalore,Yes
EXP1038,2025-02-03,Shopping,2630.06,Cash,Bangalore,No
EXP1039,2025-03-11,Bills,2100.62,Card,Chennai,Yes
EXP1040,2025-02-21,Bills,1984.65,Cash,Delhi,Yes
EXP1041,2025-02-27,Food,818.93,UPI,Chennai,Yes
EXP1042,2025-01-03,Shopping,1706.37,Card,Bangalore,No
EXP1043,2025-01-01,Food,2152.74,UPI,Bangalore,Yes
EXP1044,2025-01-09,Food,2592.94,UPI,Delhi,Yes
EXP1045,2025-01-31,Entertainment,2040.04,UPI,Delhi,No
EXP1046,2025-01-17,Bills,2812.99,Card,Delhi,Yes
EXP1047,2025-03-02,Transport,2375.4,Cash,Bangalore,Yes
EXP1048,2025-01-13,Food,2011.05,Cash,Mumbai,Yes
EXP1049,2025-02-22,Groceries,2605.13,UPI,Pune,Yes
EXP1050,2025-03-25,Bills,385.41,Cash,Pune,Yes
EXP1051,2025-02-13,Food,821.1,UPI,Delhi,Yes
EXP1052,2025-02-27,Transport,1323.46,Cash,Mumbai,Yes
EXP1053,2025-02-01,Food,1385.08,Card,Hyderabad,Yes
EXP1054,2025-01-07,Bills,2997.92,UPI,Hyderabad,Yes
EXP1055,2025-01-31,Transport,1278.6,Cash,Bangalore,Yes
EXP1056,2025-02-21,Food,577.45,UPI,Mumbai,Yes
EXP1057,2025-02-03,Groceries,927.22,Card,Pune,Yes
EXP1058,2025-03-13,Bills,2183.38,UPI,Bangalore,Yes
EXP1059,2025-02-07,Transport,2909.26,Card,Pune,Yes
EXP1060,2025-03-11,Food,2269.13,UPI,Hyderabad,Yes
EXP1061,2025-03-16,Groceries,1558.27,Card,Bangalore,Yes
EXP1062,2025-01-08,Shopping,332.32,UPI,Hyderabad,No
EXP1063,2025-03-18,Food,2058.12,UPI,Mumbai,Yes
EXP1064,2025-01-16,Shopping,814.02,Card,Hyderabad,No
EXP1065,2025-03-21,Food,1315.75,Card,Delhi,Yes
EXP1066,2025-03-08,Entertainment,2810.65,UPI,Pune,No
EXP1067,2025-02-10,Transport,870.28,UPI,Pune,Yes
EXP1068,2025-03-24,Entertainment,1425.95,UPI,Hyderabad,No
