transaction_id,date,category,amount,payment_method,city,is_essential,year,month,month_name,day_name,quarter,week
EXP00035,2025-01-10,Shopping,1364.75,Credit Card,Delhi,False,2025,1,Jan,Friday,2025Q1,2
EXP00044,2025-01-10,Healthcare,2860.24,Net Banking,Delhi,True,2025,1,Jan,Friday,2025Q1,2
EXP00009,2025-01-11,Travel,1973.16,Cash,Unknown,False,2025,1,Jan,Saturday,2025Q1,2
EXP00049,2025-01-14,Utilities,433.89,UPI,Chennai,True,2025,1,Jan,Tuesday,2025Q1,3
EXP00039,2025-01-15,Food,744.55,UPI,Bengaluru,True,2025,1,Jan,Wednesday,2025Q1,3
EXP00045,2025-01-20,Education,5957.65,Net Banking,Chennai,True,2025,1,Jan,Monday,2025Q1,4
EXP00001,2025-01-21,Food,373.65,Net Banking,Unknown,True,2025,1,Jan,Tuesday,2025Q1,4
EXP00001,2025-01-21,Food,373.65,Net Banking,Bengaluru,True,2025,1,Jan,Tuesday,2025Q1,4
EXP00059,2025-01-22,Entertainment,1619.61,UPI,Mumbai,False,2025,1,Jan,Wednesday,2025Q1,4
EXP00054,2025-01-26,Education,641.29,Debit Card,Chennai,True,2025,1,Jan,Sunday,2025Q1,4
EXP00100,2025-01-28,Rent,12405.99,UPI,Hyderabad,True,2025,1,Jan,Tuesday,2025Q1,5
EXP00020,2025-02-05,Entertainment,1778.92,Cash,Chennai,False,2025,2,Feb,Wednesday,2025Q1,6
EXP00018,2025-02-13,Shopping,2579.73,UPI,Hyderabad,False,2025,2,Feb,Thursday,2025Q1,7
EXP00011,2025-02-14,Entertainment,581.33,Net Banking,Hyderabad,False,2025,2,Feb,Friday,2025Q1,7
EXP00085,2025-02-19,Healthcare,3414.78,UPI,Unknown,True,2025,2,Feb,Wednesday,2025Q1,8
EXP00042,2025-02-24,Entertainment,880.93,Cash,Mumbai,False,2025,2,Feb,Monday,2025Q1,9
EXP00022,2025-02-27,Education,5882.72,UPI,Unknown,True,2025,2,Feb,Thursday,2025Q1,9
EXP00048,2025-02-28,Rent,19340.61,Debit Card,Chennai,True,2025,2,Feb,Friday,2025Q1,9
EXP00010,2025-03-15,Food,754.59,Cash,Pune,True,2025,3,Mar,Saturday,2025Q1,11
EXP00074,2025-03-20,Travel,2010.2,UPI,Chennai,False,2025,3,Mar,Thursday,2025Q1,12
EXP00087,2025-04-02,Food,673.72,Credit Card,Hyderabad,True,2025,4,Apr,Wednesday,2025Q2,14
EXP00050,2025-04-04,Entertainment,461.81,Credit Card,Hyderabad,False,2025,4,Apr,Friday,2025Q2,14
EXP00046,2025-04-09,Miscellaneous,1344.43,UPI,Mumbai,False,2025,4,Apr,Wednesday,2025Q2,15
EXP00029,2025-04-13,Travel,1987.35,UPI,Mumbai,False,2025,4,Apr,Sunday,2025Q2,15
EXP00081,2025-04-16,Rent,21562.45,Debit Card,Delhi,True,2025,4,Apr,Wednesday,2025Q2,16
EXP00086,2025-04-20,Entertainment,469.42,Cash,Hyderabad,False,2025,4,Apr,Sunday,2025Q2,16
EXP00055,2025-04-23,Shopping,2629.65,UPI,Chennai,False,2025,4,Apr,Wednesday,2025Q2,17
EXP00037,2025-04-25,Food,815.74,Debit Card,Mumbai,True,2025,4,Apr,Friday,2025Q2,17
EXP00040,2025-04-26,Education,5855.82,Credit Card,Chennai,True,2025,4,Apr,Saturday,2025Q2,17
EXP00015,2025-04-26,Education,4373.17,Credit Card,Chennai,True,2025,4,Apr,Saturday,2025Q2,17
EXP00060,2025-05-02,Shopping,1320.74,Net Banking,Chennai,False,2025,5,May,Friday,2025Q2,18
EXP00071,2025-05-04,Food,822.8,UPI,Bengaluru,True,2025,5,May,Sunday,2025Q2,18
EXP00068,2025-05-07,Rent,20660.44,Cash,Delhi,True,2025,5,May,Wednesday,2025Q2,19
EXP00080,2025-05-09,Travel,2228.12,Credit Card,Bengaluru,False,2025,5,May,Friday,2025Q2,19
EXP00065,2025-05-15,Rent,12832.19,UPI,Chennai,True,2025,5,May,Thursday,2025Q2,20
EXP00067,2025-05-15,Subscriptions,254.47,Credit Card,Mumbai,False,2025,5,May,Thursday,2025Q2,20
EXP00082,2025-05-19,Healthcare,730.42,UPI,Hyderabad,True,2025,5,May,Monday,2025Q2,21
EXP00033,2025-05-21,Travel,3345.75,Unknown,Chennai,False,2025,5,May,Wednesday,2025Q2,21
EXP00062,2025-05-23,Food,838.3,Credit Card,Unknown,True,2025,5,May,Friday,2025Q2,21
EXP00053,2025-05-25,Food,473.7,Cash,Hyderabad,True,2025,5,May,Sunday,2025Q2,21
EXP00023,2025-05-29,Rent,17336.5,Debit Card,Chennai,True,2025,5,May,Thursday,2025Q2,22
EXP00066,2025-05-31,Food,533.65,Credit Card,Bengaluru,True,2025,5,May,Saturday,2025Q2,22
EXP00026,2025-06-02,Food,808.3,Net Banking,Mumbai,True,2025,6,Jun,Monday,2025Q2,23
EXP00078,2025-06-06,Rent,16919.2,Debit Card,Chennai,True,2025,6,Jun,Friday,2025Q2,23
EXP00021,2025-06-08,Food,538.35,Net Banking,Bengaluru,True,2025,6,Jun,Sunday,2025Q2,23
EXP00041,2025-06-08,Food,645.73,Cash,Bengaluru,True,2025,6,Jun,Sunday,2025Q2,23
EXP00008,2025-06-23,Subscriptions,963.83,Net Banking,Bengaluru,False,2025,6,Jun,Monday,2025Q2,26
