month,month_name,category,monthly_category_spend,monthly_budget,overspend,is_over_budget
1,Jan,Education,6598.94,8000,-1401.06,False
1,Jan,Entertainment,1619.61,5000,-3380.39,False
1,Jan,Food,1491.85,12000,-10508.15,False
1,Jan,Healthcare,2860.24,4500,-1639.76,False
1,Jan,Rent,12405.99,18000,-5594.01,False
1,Jan,Shopping,1364.75,7000,-5635.25,False
1,Jan,Travel,1973.16,9000,-7026.84,False
1,Jan,Utilities,433.89,6000,-5566.11,False
2,Feb,Education,5882.72,8000,-2117.28,False
2,Feb,Entertainment,3241.1800000000003,5000,-1758.82,False
2,Feb,Healthcare,3414.78,4500,-1085.22,False
2,Feb,Rent,19340.61,18000,1340.61,True
2,Feb,Shopping,2579.73,7000,-4420.27,False
3,Mar,Food,754.59,12000,-11245.41,False
3,Mar,Travel,2010.2,9000,-6989.8,False
4,Apr,Education,10228.99,8000,2228.99,True
4,Apr,Entertainment,931.23,5000,-4068.77,False
4,Apr,Food,1489.46,12000,-10510.54,False
4,Apr,Miscellaneous,1344.43,3000,-1655.57,False
4,Apr,Rent,21562.45,18000,3562.45,True
4,Apr,Shopping,2629.65,7000,-4370.35,False
4,Apr,Travel,1987.35,9000,-7012.65,False
5,May,Food,2668.45,12000,-9331.55,False
5,May,Healthcare,730.42,4500,-3769.58,False
5,May,Rent,50829.13,18000,32829.13,True
5,May,Shopping,1320.74,7000,-5679.26,False
5,May,Subscriptions,254.47,1200,-945.53,False
5,May,Travel,5573.87,9000,-3426.13,False
6,Jun,Food,1992.38,12000,-10007.62,False
6,Jun,Rent,16919.2,18000,-1080.8,False
6,Jun,Shopping,1239.54,7000,-5760.46,False
6,Jun,Subscriptions,963.83,1200,-236.17,False
6,Jun,Travel,1046.61,9000,-7953.39,False
7,Jul,Education,3625.53,8000,-4374.47,False
7,Jul,Entertainment,1630.53,5000,-3369.47,False
7,Jul,Food,1060.16,12000,-10939.84,False
7,Jul,Healthcare,825.88,4500,-3674.12,False
7,Jul,Rent,12077.26,18000,-5922.74,False
7,Jul,Travel,2551.82,9000,-6448.18,False
7,Jul,Utilities,3185.12,6000,-2814.88,False
8,Aug,Entertainment,1621.31,5000,-3378.69,False
8,Aug,Food,2054.52,12000,-9945.48,False
8,Aug,Healthcare,4330.99,4500,-169.01,False
8,Aug,Rent,35267.04,18000,17267.04,True
8,Aug,Utilities,862.92,6000,-5137.08,False
9,Sep,Education,1166.6,8000,-6833.4,False
9,Sep,Food,510.04,12000,-11489.96,False
10,Oct,Entertainment,1713.79,5000,-3286.21,False
10,Oct,Food,868.8,12000,-11131.2,False
10,Oct,Miscellaneous,1666.41,3000,-1333.59,False
10,Oct,Rent,12926.02,18000,-5073.98,False
10,Oct,Subscriptions,2241.94,1200,1041.94,True
10,Oct,Travel,5875.31,9000,-3124.69,False
10,Oct,Utilities,2891.95,6000,-3108.05,False
11,Nov,Education,5505.35,8000,-2494.65,False
11,Nov,Food,1582.4499999999998,12000,-10417.55,False
11,Nov,Healthcare,2807.01,4500,-1692.99,False
11,Nov,Rent,13160.41,18000,-4839.59,False
11,Nov,Subscriptions,735.81,1200,-464.19,False
11,Nov,Travel,2311.7,9000,-6688.3,False
11,Nov,Utilities,1690.14,6000,-4309.86,False
12,Dec,Education,6982.25,8000,-1017.75,False
12,Dec,Food,792.0600000000001,12000,-11207.94,False
12,Dec,Miscellaneous,755.03,3000,-2244.97,False
12,Dec,Subscriptions,578.7,1200,-621.3,False
12,Dec,Travel,9816.119999999999,9000,816.12,True
