year,month,month_name,total_spend,average_spend,transactions
2025,1,Jan,28748.43,2613.4936363636366,11
2025,2,Feb,34459.020000000004,4922.717142857144,7
2025,3,Mar,2764.79,1382.395,2
2025,4,Apr,40173.56,4017.3559999999998,10
2025,5,May,61377.08,5114.756666666667,12
2025,6,Jun,22161.56,3165.937142857143,7
2025,7,Jul,24956.3,2495.63,10
2025,8,Aug,44136.78,4413.678,10
2025,9,Sep,1676.6399999999999,838.3199999999999,2
2025,10,Oct,28184.22,2013.1585714285716,14
2025,11,Nov,27792.87,2526.6245454545456,11
2025,12,Dec,18924.16,2102.6844444444446,9
